Date,Open,Close,Change,Zhangdiefu,Low,High,Succeed,Succeed Price
2019-02-18,2699.82,2754.36,71.97,2.68%,2699.82,2754.36,260436016,22418408.00
2019-02-15,2712.79,2682.39,-37.31,-1.37%,2679.78,2715.63,196004272,16982326.00
2019-02-14,2715.54,2719.70,-1.37,-0.05%,2707.49,2729.46,197037344,17033084.00
2019-02-13,2674.52,2721.07,49.17,1.84%,2666.52,2727.07,243794000,20712532.00
2019-02-12,2654.03,2671.89,18.00,0.68%,2648.83,2674.48,184101168,15674153.00
2019-02-11,2613.17,2653.90,35.66,1.36%,2613.17,2654.10,154898864,13730719.00
2019-02-01,2597.78,2618.23,33.66,1.30%,2590.55,2618.48,131986848,11152263.00
2019-01-31,2581.33,2584.57,9.00,0.35%,2571.58,2606.63,154303872,12601324.00
2019-01-30,2584.75,2575.58,-18.68,-0.72%,2575.41,2598.81,120502568,10110393.00
2019-01-29,2592.35,2594.25,-2.72,-0.10%,2559.98,2601.74,155581120,12674905.00
2019-01-28,2615.71,2596.98,-4.75,-0.18%,2591.10,2630.32,146981760,12746564.00
2019-01-25,2596.26,2601.72,10.03,0.39%,2595.63,2617.00,159394032,13541517.00
2019-01-24,2584.65,2591.69,10.69,0.41%,2569.70,2597.29,154042048,13157504.00
2019-01-23,2575.26,2581.00,1.30,0.05%,2572.41,2589.51,131426792,10510132.00
2019-01-22,2609.64,2579.70,-30.81,-1.18%,2573.06,2609.64,152537776,12299543.00
2019-01-21,2599.06,2610.51,14.50,0.56%,2599.06,2618.98,163425120,13991549.00
2019-01-18,2567.74,2596.01,36.37,1.42%,2565.90,2598.88,190767232,15127042.00
2019-01-17,2573.58,2559.64,-10.79,-0.42%,2557.71,2582.56,162468144,12754613.00
2019-01-16,2569.07,2570.42,0.08,0.00%,2563.01,2574.24,149301536,12687631.00
2019-01-15,2537.37,2570.34,34.58,1.36%,2532.43,2571.50,160265536,13737498.00
2019-01-14,2553.33,2535.77,-18.07,-0.71%,2533.01,2556.29,144825472,11624342.00
2019-01-11,2539.55,2553.83,18.73,0.74%,2533.36,2554.79,149444096,12237566.00
2019-01-10,2543.85,2535.10,-9.25,-0.36%,2531.66,2551.83,159874320,13269233.00
2019-01-09,2536.42,2544.34,17.88,0.71%,2536.16,2574.41,191887936,16081253.00
2019-01-08,2530.30,2526.46,-6.63,-0.26%,2520.16,2531.34,158099184,12337904.00
2019-01-07,2528.70,2533.09,18.22,0.72%,2515.51,2536.98,177305008,14551323.00
2019-01-04,2446.02,2514.87,50.51,2.05%,2440.91,2515.32,168877664,13929867.00
2019-01-03,2461.78,2464.36,-0.93,-0.04%,2455.93,2488.48,124397496,10692279.00
2019-01-02,2497.88,2465.29,-28.61,-1.15%,2456.42,2500.28,109932008,9759257.00
2018-12-28,2483.62,2493.90,10.81,0.44%,2478.32,2505.11,119245248,10598085.00
2018-12-27,2527.72,2483.09,-15.21,-0.61%,2483.09,2532.00,135406848,11247976.00
2018-12-26,2501.12,2498.29,-6.53,-0.26%,2492.08,2513.83,108799632,9398954.00
2018-12-25,2503.95,2504.82,-22.19,-0.88%,2462.84,2513.96,140670560,11476601.00
2018-12-24,2506.74,2527.01,10.76,0.43%,2500.44,2529.44,97339856,8576093.00
2018-12-21,2526.55,2516.25,-20.02,-0.79%,2498.69,2527.42,115671200,10136062.00
2018-12-20,2544.51,2536.27,-13.30,-0.52%,2516.02,2554.86,120566496,10350499.00
2018-12-19,2578.68,2549.56,-27.09,-1.05%,2547.08,2579.87,107661792,9371318.00
2018-12-18,2583.63,2576.65,-21.32,-0.82%,2563.57,2599.15,117033368,9930654.00
2018-12-17,2587.26,2597.97,4.23,0.16%,2573.87,2598.97,117363248,10296085.00
2018-12-13,2607.14,2634.05,31.90,1.23%,2599.46,2645.84,150738112,13239611.00
2018-12-12,2608.11,2602.15,8.06,0.31%,2595.07,2610.01,103518304,8899820.00
2018-12-11,2587.01,2594.09,9.51,0.37%,2583.20,2596.15,101304360,8540412.00
2018-12-10,2589.19,2584.58,-21.31,-0.82%,2576.24,2599.76,113199664,9914814.00
2018-12-07,2609.34,2605.89,0.71,0.03%,2599.28,2614.58,109074992,9772766.00
2018-12-06,2629.82,2605.18,-44.62,-1.68%,2603.13,2633.68,141661648,12909298.00
2018-12-05,2629.83,2649.81,-16.15,-0.61%,2625.91,2660.39,154502048,13373021.00
2018-12-04,2651.56,2665.96,11.16,0.42%,2644.90,2666.08,167940560,14414340.00
2018-12-03,2647.13,2654.80,66.61,2.57%,2629.18,2665.30,207478944,18783180.00
2018-11-30,2564.56,2588.19,20.74,0.81%,2555.32,2590.21,139329024,11221982.00
2018-11-29,2613.78,2567.44,-34.29,-1.32%,2567.44,2617.55,157168736,12947245.00
